Gene_Symbol,logFC,PValue
SRRM1,-1.318732311,7.65657E-68
MROH7,-1.3193,5.21526E-14
CLEC7A,-1.319308,2.14948E-14
PRKCB,-1.320789328,1.72774E-09
LGALS2,-1.322679204,2.80369E-07
MAMLD1,-1.323830493,5.06686E-15
ASIC2,-1.325366117,1.62409E-08
SYNPR,-1.325758,2.97276E-07
CD97,-1.328601455,5.68845E-17
DNAJC6,-1.329900597,6.55653E-31
OSBPL3,-1.33314616,3.1186E-09
TAGAP,-1.334623,2.02048E-13
FABP3,-1.334661726,2.08905E-11
C1S,-1.334821604,7.52343E-10
NCALD,-1.335323,1.02533E-23
C8orf4,-1.335349,1.00679E-12
PRICKLE2,-1.336833,2.1139E-18
FGD2,-1.337668,7.19599E-16
REEP6,-1.337807,8.94029E-10
PTPRC,-1.338823041,1.98451E-09
RAP1GAP2,-1.342377931,2.31338E-28
KLHL35,-1.34325,5.88599E-17
NCDN,-1.343495547,9.44845E-40
APLNR,-1.344390789,8.03485E-14
ABCG4,-1.348119,1.75899E-29
TMEM132C,-1.352065,6.80775E-07
FOXO1,-1.354014195,1.91421E-17
GPR153,-1.355184,4.3406E-26
LYNX1,-1.355206,3.42027E-11
DPYD,-1.357218086,9.53429E-29
ITGAL,-1.358705472,7.35067E-11
FMNL1,-1.361294659,8.33739E-28
ROBO3,-1.362073,4.67792E-19
ZBTB7C,-1.362139,5.26193E-20
GFRA3,-1.362142901,6.0491E-09
ARHGAP23,-1.364548,4.47457E-42
NEBL,-1.36532243,1.31265E-15
CA10,-1.36795,3.95965E-07
FBLN5,-1.372346316,1.46718E-10
CNR1,-1.374026432,8.71017E-13
PID1,-1.374716,1.07107E-14
HLA-DQB2,-1.375197085,6.26848E-09
VCAM1,-1.379939543,5.69204E-14
MYO18A,-1.383167,4.90312E-62
SYNM,-1.383210883,2.01287E-20
CTSW,-1.383815881,4.78981E-11
LAMA4,-1.384604193,8.27987E-21
C2CD4B,-1.384669,9.73855E-08
ZFP36,-1.391681916,1.51824E-08
RGMA,-1.39173,8.57921E-16
LINC00174,-1.393694,1.92435E-31
NEAT1,-1.394559,2.48257E-18
SYT13,-1.395312,2.52549E-09
COL7A1,-1.395734134,1.64319E-12
MTSS1,-1.396539091,9.4472E-44
PLEKHA4,-1.397049,4.79312E-10
TMEM107,-1.399137,3.83084E-36
VPS13D,-1.402448,9.88792E-44
RIMS1,-1.402586713,2.0164E-37
SLFNL1,-1.402976,4.33756E-14
PCDHA1,-1.403212,4.19158E-18
PLEC,-1.403434589,4.73352E-45
CAB39L,-1.405831,5.66051E-28
RAB15,-1.407539,1.71526E-30
PCDHGC4,-1.409354,7.97169E-22
ANKRD29,-1.412118,2.61172E-13
PDE6G,-1.412159956,5.51073E-11
LSMEM1,-1.412871,1.15231E-28
BTBD3,-1.41391704,4.56454E-21
MASP2,-1.416152461,8.46605E-19
MYO7A,-1.423438824,1.44234E-27
SYT7,-1.429016835,5.0311E-21
PLAGL1,-1.43181708,3.10402E-13
LYZ,-1.432382248,1.65097E-09
SEMA3G,-1.436104,8.73209E-17
PLCXD3,-1.438968,4.3174E-08
CRIP3,-1.439527,4.23008E-27
PCDH20,-1.440162,1.18248E-08
HOXC9,-1.443812795,2.07153E-10
ST8SIA2,-1.447381305,3.74715E-31
ALCAM,-1.449384606,7.98745E-12
GABARAPL1,-1.452750438,3.55541E-19
RBFOX1,-1.452893,1.01502E-15
CBX7,-1.452942511,4.16778E-36
CAPN3,-1.458204437,4.70456E-29
OGN,-1.458259259,4.07175E-07
MICALL2,-1.462475,2.5533E-18
ARHGEF10L,-1.46538,1.12112E-42
CELF6,-1.466629,3.04442E-44
KCNQ3,-1.467616867,9.3962E-18
AMPH,-1.468201105,3.5996E-17
APBA1,-1.473393773,2.75441E-26
FAM47E,-1.474312,8.88977E-20
DOC2B,-1.476675419,3.32268E-34
VWA5A,-1.477919375,7.97285E-11
AK5,-1.478936445,1.33397E-22
TMC8,-1.481124,4.35365E-12
SNCG,-1.481953543,3.627E-08
CIITA,-1.484544915,1.26375E-12
PRUNE2,-1.488559,7.29837E-17
SRRM3,-1.489407,3.83187E-40
KIFC2,-1.492885,2.86566E-34
NR4A1,-1.492929375,4.02871E-09
CAMK2B,-1.493278612,3.66068E-29
AMICA1,-1.494428,7.41663E-15
ATP2A3,-1.498723373,6.71519E-17
NAV3,-1.503856,2.23496E-13
CYB561,-1.506646628,1.35737E-10
ABCC3,-1.507313222,4.90629E-19
ECEL1,-1.511347432,2.28252E-06
TOM1L2,-1.512767,3.80288E-98
KIF5A,-1.515134062,2.94611E-54
SLCO2B1,-1.518078785,7.31947E-23
FYB,-1.51819806,2.30704E-14
IL34,-1.518573,1.47163E-20
ITGAX,-1.519004175,9.33897E-17
CACNA2D3,-1.519755,8.07129E-14
PSD2,-1.522303,1.02852E-42
PCDHGB6,-1.523913,1.51575E-13
EBF1,-1.525093594,3.97347E-14
SNX10,-1.525327435,7.31792E-12
CORO2B,-1.531827467,2.90367E-26
PTPRF,-1.532558614,6.19346E-33
CACNA1D,-1.532563854,9.41005E-21
TNS1,-1.533816044,2.74322E-23
PVRL1,-1.538473642,1.43247E-28
HLA-DQA2,-1.541708278,1.81083E-10
CAPN5,-1.543066599,2.80822E-44
RAB26,-1.544205592,7.93795E-19
PLD2,-1.549784708,1.43249E-28
KCNAB2,-1.551205556,1.21934E-51
PLCH2,-1.552306278,2.04811E-13
CREG2,-1.553884,5.76293E-11
C1orf173,-1.559054,1.71021E-11
INS,-1.56067086,4.03391E-12
CAPS2,-1.561048,2.79318E-24
WNT4,-1.563225,2.62676E-16
ANKRD6,-1.568293961,1.88266E-22
PIK3CD,-1.56937545,1.54724E-40
TFAP2B,-1.572193075,2.38264E-09
AGRN,-1.579002,1.4903E-25
KCNC3,-1.579010978,8.78673E-30
PDE4DIP,-1.582664668,2.89332E-32
SCPEP1,-1.584264,7.08743E-32
PEAR1,-1.584516,5.21061E-28
CCBE1,-1.585701,1.69482E-09
ALDH1A1,-1.587308615,2.2373E-11
PCSK2,-1.60259011,1.20917E-09
BIRC3,-1.603714642,1.19117E-11
PCSK1,-1.607630699,1.00436E-11
MYO15A,-1.607894458,4.05244E-10
CYB5R2,-1.608005,4.18583E-11
RSG1,-1.608083,1.67771E-33
PHLDB1,-1.610832858,4.18281E-72
IL18,-1.612086615,1.43834E-14
MAP7,-1.612667254,8.93076E-33
IL7R,-1.613144623,1.4775E-09
P2RX6,-1.613826947,1.36123E-21
DNER,-1.622559,2.37327E-13
CLEC10A,-1.623823028,5.92385E-16
KLRK1,-1.630275228,1.31916E-13
TMEFF2,-1.630537266,2.59157E-15
LRRTM4,-1.641019,6.27063E-13
MPEG1,-1.647681,1.74723E-25
VAMP1,-1.655757103,2.23731E-40
KCNC4,-1.658589161,7.27234E-26
AKAP7,-1.658615716,4.8228E-14
MIA,-1.677348691,3.50315E-12
KIAA0513,-1.684661452,6.47143E-26
NXPH1,-1.690135296,5.593E-22
VWDE,-1.691173,2.47101E-14
ADCY1,-1.696088379,1.40452E-37
GALNT3,-1.699147338,1.09797E-21
VSTM2A,-1.702059,4.30856E-16
TFAMP1,-1.704658,4.36737E-14
PLXNC1,-1.707360539,1.99733E-39
SLC18A1,-1.708743545,2.34046E-10
WSB1,-1.712293791,6.06963E-67
CADM3,-1.719123,1.09218E-30
DOCK3,-1.720983944,7.34223E-24
EDIL3,-1.721326992,6.00318E-12
PKIB,-1.726028725,1.10814E-12
AHR,-1.740859251,1.05853E-18
EPS8L1,-1.752922,3.24402E-28
CES4A,-1.778258,1.30182E-66
TRIM74,-1.781098,3.94301E-26
MAP1A,-1.781599683,3.80184E-30
FXYD1,-1.784902934,7.40782E-10
AHI1,-1.785471,3.83274E-67
GAS7,-1.785949205,3.38362E-16
NRCAM,-1.787032288,4.04901E-31
ABLIM3,-1.788207221,1.43469E-28
TNFAIP3,-1.789709292,2.57378E-19
RAMP3,-1.794958476,2.73705E-24
PTPRH,-1.795318778,5.12511E-12
NR4A2,-1.797024664,1.98233E-09
PLCD4,-1.803966,1.3839E-38
RBP5,-1.804827,1.30265E-25
FNDC9,-1.804954,5.51951E-15
UPP1,-1.815238075,6.6943E-27
SCG2,-1.816105382,5.10541E-21
GPR123,-1.819328,1.56381E-18
TRIM73,-1.819904,1.54114E-37
FGL2,-1.823615594,2.8842E-27
NRBP2,-1.823777,5.79267E-67
LINC00869,-1.832864,4.31542E-28
DYNC1I1,-1.838745977,3.80921E-13
GS1-18A18.1,-1.842826,2.76845E-22
KNDC1,-1.84303,7.05796E-25
TNFRSF25,-1.84307375,9.16404E-36
C7,-1.846716811,4.42238E-11
EPHA5,-1.84831504,2.92614E-15
RHBDL3,-1.858031,5.87376E-20
RAB3B,-1.869349308,8.70655E-16
OPHN1,-1.871253897,1.07251E-12
CPNE9,-1.880612,1.12551E-29
MATN2,-1.881429413,1.05832E-33
CGN,-1.894414,2.14241E-33
FBXO2,-1.909725398,2.28479E-15
PLEKHG5,-1.921153,9.58747E-57
GDPD5,-1.935882,3.4261E-54
SLC18A2,-1.939095248,2.49021E-15
DNASE1L3,-1.94423043,2.45606E-16
ATP2B4,-1.959458983,3.15534E-37
EPB41L3,-1.96354282,2.62022E-20
CDH6,-1.966421177,1.8396E-25
HOXC-AS1,-1.986693,1.14936E-18
PGM2L1,-1.98871,3.13514E-60
KIAA1456,-1.989853,1.84968E-22
ALDOC,-2.002776998,5.89682E-29
PLXNA4,-2.027917,8.69519E-20
CGNL1,-2.039726,4.20704E-35
FAXDC2,-2.042918712,1.43607E-40
LGI4,-2.050585,4.18783E-15
PAPLN,-2.060909,1.10232E-28
SPOCK2,-2.065126391,2.35049E-21
TMEM255A,-2.068291,3.52205E-19
PMP22,-2.075553314,8.45127E-32
FREM1,-2.094636,7.95001E-21
SYT2,-2.101535,1.03099E-15
CCL19,-2.107996419,1.26041E-08
EPB41L4A,-2.130601,2.14205E-30
ADCYAP1,-2.140965088,8.85699E-10
TRPV2,-2.143695,3.10633E-32
DRD2,-2.21949858,3.69502E-18
HS3ST5,-2.224162,1.53061E-25
ARHGAP36,-2.250566,6.15585E-11
MDGA1,-2.252283,7.68535E-26
U3,-2.264014,2.10108E-17
MPZ,-2.333597293,2.32552E-26
HPCAL4,-2.378004,1.34183E-22
S100B,-2.403681841,1.29904E-16
SV2B,-2.443169813,2.82086E-21
RGS9,-2.451550468,1.11624E-20
ALS2CL,-2.465903,9.34518E-42
SCN7A,-2.472722373,1.29436E-35
KIRREL3,-2.63836,4.40778E-37
LGI3,-2.669008,1.50171E-35
NTRK1,-2.879495237,2.53199E-17
PTGDS,-2.926597928,4.21338E-20
PIRT,-2.955784,9.6079E-25
AMIGO2,-3.042463,3.57978E-33
BAIAP3,-3.122480329,7.9429E-41
C17orf107,-3.185151,8.97258E-74
CHD5,-3.19237406,1.92479E-74
GCGR,-3.264075484,1.25246E-16
INSRR,-3.514396906,2.44963E-30
APOD,-3.863598792,1.59398E-18
