Gene_Symbol,logFC,PValue
SPRYD3,-1.240201,6.42367E-28
EFNB3,-1.241942388,5.03682E-22
PCDHGA3,-1.243524068,1.5427E-08
ZDHHC18,-1.247545,7.24653E-38
ZFPM2,-1.248094973,6.38411E-14
MYO18A,-1.250257,5.34657E-43
CARTPT,-1.253718989,0.001400245
PRKCB,-1.253805895,6.41659E-10
AKR1C2,-1.254467853,3.0245E-11
CLSTN3,-1.256605215,4.52523E-41
SEMA3G,-1.257982335,6.39759E-14
HLA-DQA2,-1.258860656,2.30667E-07
SCN9A,-1.259985491,4.43471E-25
CNR1,-1.260114169,1.81596E-11
MAP7D1,-1.261565223,6.24648E-49
SGSM1,-1.262673,5.35496E-36
SLCO3A1,-1.262926199,1.56959E-15
PDK4,-1.263949897,1.68104E-13
CGN,-1.264991835,2.18114E-13
REEP1,-1.265405,6.47592E-29
IL34,-1.268453,5.67868E-15
RGMB,-1.268736,5.70976E-34
MTSS1,-1.269021313,1.65575E-34
TRIM67,-1.269608,3.83604E-19
CD9,-1.27227208,1.4035E-14
CALY,-1.272522842,2.69771E-15
TFAP2B,-1.273632102,1.08578E-06
CELF4,-1.273908954,2.75614E-32
CD163L1,-1.274246,9.08626E-11
PIK3CD,-1.275463007,5.52168E-18
CCDC24,-1.275578,1.13621E-15
P2RX6,-1.278894585,1.55009E-12
SDC3,-1.279354052,9.04214E-28
FAM134B,-1.279682698,3.30713E-35
NCOA7,-1.279912,1.82178E-28
TMEM130,-1.28229,6.74364E-28
PEG10,-1.284197153,2.88716E-21
PLEKHA4,-1.284592723,9.91936E-10
GABBR1,-1.286475599,5.75306E-55
SCPEP1,-1.287587247,2.25498E-18
CDRT4,-1.29045,1.33304E-16
SLFNL1,-1.290802,1.80699E-13
GNG8,-1.29195,9.28734E-08
TTC39A,-1.294859532,9.66745E-11
KCNAB2,-1.298177596,3.31756E-27
TMEM132C,-1.298724,5.72252E-07
PLD2,-1.298832186,3.3428E-25
PCSK2,-1.299637659,2.66049E-06
KCNIP4,-1.302179,1.3949E-09
GPR153,-1.302193,2.69076E-27
CES4A,-1.306668,1.64581E-22
TFAMP1,-1.30923,3.25078E-08
PEAR1,-1.309927,3.33379E-19
LYNX1,-1.31248,2.36154E-11
SYBU,-1.313706157,2.4751E-23
PHYHIP,-1.317021849,7.53295E-23
PLCH2,-1.321664143,1.96705E-09
ZBTB7C,-1.324836,2.03162E-19
PDE6G,-1.327957188,6.57367E-10
PAPLN,-1.328464,7.56425E-10
RNF11,-1.329178154,1.27082E-37
FABP3,-1.329867606,5.26095E-12
KLHL35,-1.332298,2.03106E-18
RGS1,-1.333958923,2.4926E-11
ABCG4,-1.33413,3.24797E-31
RAB26,-1.334837501,2.16933E-14
RAB37,-1.337779,1.08182E-08
PRKCZ,-1.341349962,4.38754E-46
ZNF365,-1.342143814,4.76924E-16
MIR137HG,-1.343741,1.41197E-17
RAP1GAP2,-1.345352267,1.34218E-29
NCDN,-1.348281508,1.22847E-46
ANXA2,-1.348742609,6.39892E-17
TLN2,-1.349557,1.6467E-17
LSMEM1,-1.350411,7.27727E-29
CAB39L,-1.350885,2.07652E-26
PRR5,-1.354671628,2.49262E-20
NR4A1,-1.359801027,8.08315E-09
KIFC2,-1.359837,1.20972E-28
KCNQ3,-1.362062016,2.13581E-16
FAM69A,-1.363695,9.35588E-20
CTNND2,-1.364551135,2.93683E-30
NLRP1,-1.366624327,9.62489E-29
NEGR1,-1.368518,8.83953E-13
CAPN5,-1.371251002,8.24627E-32
DDC,-1.377880182,2.00705E-10
ASGR1,-1.381323337,3.03895E-19
TRIM74,-1.382274,1.0078E-19
NEBL,-1.383611525,6.77282E-17
RIMS1,-1.38742051,2.00265E-40
TRIM73,-1.388757,3.38632E-20
IL18,-1.389995239,1.47675E-10
NCALD,-1.399913,7.27651E-29
DNAJC6,-1.401220887,8.44403E-44
RASD1,-1.403788407,1.18935E-14
LINC00869,-1.406958913,7.20848E-16
TMEM107,-1.410071,1.91911E-41
TNFAIP3,-1.411760481,1.21599E-12
TNFRSF25,-1.419835243,1.7133E-18
PACRG,-1.421117,9.87473E-15
ST8SIA2,-1.42270423,4.65274E-30
CYP46A1,-1.422863526,1.47231E-17
PLCD4,-1.424128,9.06768E-17
TOM1L2,-1.425084,1.28721E-87
SYNM,-1.425994101,1.79779E-26
OSBPL3,-1.426850787,1.56859E-11
SYT5,-1.42820634,5.70912E-13
OGN,-1.428607477,2.46523E-07
PSD2,-1.43044,9.39905E-34
ARHGEF10L,-1.434046308,4.07537E-45
BTBD3,-1.436616495,3.84769E-25
FAM131C,-1.438495,8.93009E-27
FAM47E,-1.440647,3.29606E-20
SYT7,-1.444163956,1.37239E-24
CELF6,-1.450828493,7.55389E-47
PCDHA1,-1.451743894,8.2166E-20
MAP7,-1.454711599,3.24097E-22
CAPS2,-1.455154,9.84722E-23
FGL2,-1.455224804,2.17117E-14
CLU,-1.459576684,8.59329E-18
PCDHGC4,-1.460876452,5.37156E-26
AHR,-1.464854313,6.78338E-15
CYB561,-1.467923431,3.42933E-11
DNASE1L3,-1.468447819,4.48988E-08
VAMP1,-1.469412919,7.4873E-33
FSTL5,-1.469533766,9.1817E-09
PVRL1,-1.471215669,2.03861E-25
VWA5A,-1.473127632,3.09558E-12
HOXC9,-1.477201739,8.36636E-12
WSB1,-1.482706818,2.93673E-49
RAB15,-1.48278,8.06221E-40
GFRA3,-1.483819138,1.7043E-12
C2CD4B,-1.484088,1.4514E-10
PLAGL1,-1.48578014,8.17417E-15
RBFOX1,-1.486473703,5.96183E-16
AK5,-1.486663493,1.22965E-24
GALNT3,-1.490057851,1.51337E-19
IL7R,-1.494996819,5.63051E-09
PHLDB1,-1.498321919,2.46051E-53
SNX10,-1.498664783,1.15878E-12
KIF5A,-1.499300632,2.21473E-42
ADCY1,-1.501044277,7.1451E-28
ZCCHC12,-1.502216,4.05579E-26
PCDH20,-1.503465,5.98436E-11
CAMK2B,-1.512960415,4.07259E-34
DOC2B,-1.516409096,1.65297E-35
ANKRD6,-1.521797144,1.13645E-23
RGMA,-1.526733791,8.40823E-23
RBP5,-1.527003,5.29435E-16
PLEKHG5,-1.529536991,1.73221E-25
PRICKLE2,-1.540222,1.15368E-26
DOCK3,-1.541706696,2.13395E-18
AMPH,-1.544827551,2.13943E-20
PTPRF,-1.545135775,5.18919E-35
NRBP2,-1.547971,3.1766E-42
PDE4DIP,-1.554530341,1.22583E-32
PLCXD3,-1.559012,1.5927E-10
VAT1L,-1.559065855,2.19834E-20
PID1,-1.565497641,2.79908E-24
CRYAB,-1.570936045,1.44625E-14
AGRN,-1.584941,4.97347E-28
C1orf173,-1.587048,6.61433E-14
ALDH1A1,-1.593216124,4.71532E-12
RAMP3,-1.59693459,3.00017E-19
NPFF,-1.598217072,1.44329E-13
EPS8L1,-1.604906789,5.41839E-26
RSG1,-1.605585,6.84347E-39
KIAA0513,-1.607572326,2.12485E-23
GABARAPL1,-1.615767144,6.76899E-30
CACNA2D3,-1.615898264,2.49424E-17
VWDE,-1.620394,1.3129E-14
APBA1,-1.625904276,2.35593E-43
CCL19,-1.627375682,1.54469E-05
PCDHGB6,-1.627585468,1.09443E-16
AHI1,-1.62819683,3.14111E-47
PLXNC1,-1.630475676,1.3275E-35
PALM3,-1.631232,6.23728E-21
CNTNAP2,-1.64219251,2.24254E-18
ASIC2,-1.643560994,8.02865E-14
ACHE,-1.648381303,1.81784E-15
CD44,-1.654259092,3.02862E-15
CORO2B,-1.662927292,4.49315E-38
SYT13,-1.663854069,4.87141E-16
EBF1,-1.67326361,2.04257E-18
TPPP3,-1.682809158,1.53786E-18
CDH6,-1.684483772,5.94851E-17
GAS7,-1.686028959,4.24108E-17
FBXO2,-1.698389164,3.26513E-12
PCSK1,-1.699411306,8.41995E-14
WNT4,-1.711950732,1.31344E-22
KCNC4,-1.714366973,3.57658E-34
PRUNE2,-1.715365,5.66735E-25
NR4A2,-1.722609562,2.97749E-10
MST1P2,-1.728388,1.9424E-16
FNDC9,-1.732999,9.16936E-15
GDPD5,-1.734677,6.6942E-39
SLC18A1,-1.739107476,6.91391E-11
ECEL1,-1.741416322,1.5371E-08
KNDC1,-1.748241,1.52088E-20
EDIL3,-1.7496235,4.33877E-14
EPHA5,-1.749748578,1.64966E-10
TMEFF2,-1.754623766,2.33273E-18
C7,-1.769083812,6.30622E-11
AKAP7,-1.771464757,1.09086E-19
CYB5R2,-1.777461005,1.76388E-16
ALCAM,-1.778090292,1.88659E-22
PRPH,-1.778272875,1.79109E-15
OPHN1,-1.779306822,1.84121E-12
CPNE9,-1.789148,8.98529E-30
MAP1A,-1.793637437,9.84647E-35
CADM3,-1.795250779,3.69137E-39
EPB41L3,-1.800517878,7.07808E-19
MATN2,-1.8018404,1.53166E-30
NAV3,-1.803355,1.58842E-23
KIAA1456,-1.81617088,2.27371E-21
REEP6,-1.818648,2.60181E-25
UPP1,-1.848455493,2.35452E-35
RHBDL3,-1.851179,1.74717E-21
MIA,-1.886247677,3.21519E-19
FXYD1,-1.887275183,3.2427E-12
GPR123,-1.889628,7.55041E-23
FREM1,-1.890768,1.86603E-17
SNCG,-1.90011234,1.2875E-14
VSTM2A,-1.914904,1.24785E-27
ATP2B4,-1.920888678,6.50331E-40
NXPH1,-1.946046525,2.30602E-37
ALDOC,-1.94954494,9.69785E-31
ARHGAP36,-1.954284,1.14916E-08
HOXC-AS1,-1.957096,2.89684E-19
CGNL1,-1.960223,4.51946E-34
SLC18A2,-1.970706008,2.50884E-17
ABLIM3,-1.98090008,3.88997E-48
PTPRH,-1.987236871,7.26355E-17
MPZ,-1.990772363,3.61725E-17
BAIAP3,-2.007534822,1.35008E-11
DNER,-2.017336,8.98937E-26
CCBE1,-2.035054,4.73425E-19
NRCAM,-2.044277275,5.17433E-56
PGM2L1,-2.051534,1.234E-71
LGI4,-2.057726,2.85702E-17
PLXNA4,-2.067137,4.72332E-21
FAXDC2,-2.073317555,4.44677E-48
DRD2,-2.078150723,1.56422E-15
SCG2,-2.090154937,7.55757E-36
MDGA1,-2.106668,1.0283E-23
TRPV2,-2.133462942,7.5474E-40
CA10,-2.164442016,7.39623E-25
SPOCK2,-2.177281762,2.17054E-28
PMP22,-2.178397683,8.59142E-42
U3,-2.207408,8.44803E-20
SCN7A,-2.233415709,3.56228E-25
ALS2CL,-2.234655,4.76329E-31
DYNC1I1,-2.265969464,2.53047E-24
RAB3B,-2.276715049,1.53855E-36
PKIB,-2.293232712,6.28168E-27
HS3ST5,-2.299786,4.00473E-28
EPB41L4A,-2.322186479,1.64955E-52
TMEM255A,-2.34306406,6.66463E-33
HPCAL4,-2.393223486,3.32141E-27
KIRREL3,-2.468123,4.63444E-30
PTGDS,-2.498489806,3.18339E-15
ADCYAP1,-2.565132214,1.68845E-13
S100B,-2.607476218,5.70446E-23
RGS9,-2.629156544,3.48174E-29
LGI3,-2.771743,1.19133E-44
CHD5,-2.818043596,5.27435E-54
GCGR,-2.886847549,4.41061E-13
NTRK1,-3.04676986,1.68099E-21
C17orf107,-3.167507,9.93603E-80
AMIGO2,-3.221426,1.11262E-46
PIRT,-3.274483,5.75307E-34
INSRR,-3.282632188,1.46875E-28
APOD,-3.285304445,1.50582E-14
